2020,2019,2020
1 485 595,"(1 234 324)
(321 022)
(114 298)
(40 006)",(2 540)
–,,–
(166 318),,–
(30 623),,–
1 288 654,"(1 709 650)
6 132 504
(3 776)",(2 540)
4 419 078,,12 859
27 735,,–
5 735 467,4 419 078,10 319
