"Excluding
loss
component","Loss
component",Total LRC,LIC,"Total life
participating
contracts
measured
under VFA"
8 006,449,8 455,425,8 880
–,–,–,–,–
8 006,449,8 455,425,8 880
(799),–,(799),–,(799)
66,(17),49,693,742
–,–,–,455,455
–,–,–,238,238
–,–,–,–,–
–,6,6,–,6
–,35,35,–,35
–,(58),(58),–,(58)
66,–,66,–,66
(733),(17),(750),693,(57)
2 217,9,2 226,–,2 226
–,–,–,–,–
1 484,(8),1 476,693,2 169
(1 844),–,(1 844),1 844,–
1 518,–,1 518,(2 470),(952)
1 628,–,1 628,–,1 628
–,–,–,(2 232),(2 232)
–,–,–,(238),(238)
(110),–,(110),–,(110)
–,–,–,–,–
9 164,441,9 605,492,10 097
–,–,–,–,–
9 164,441,9 605,492,10 097
