Insurance contracts,Column,Column,Column,Column
"Policyholder
liabilities","Policyholder
assets","Reinsurance
assets and
liabilities","Investment
contracts
with DPF","Investment
contracts"
(148 807),–,–,(49 532),122 823
461 740,–,–,137 509,2 285 112
1 152 614,–,–,1 244 445,4 147 759
2 179 638,–,–,1 732 652,3 783 239
22 471,–,–,–,179 892
3 667 656,–,–,3 065 074,10 518 825
294 810,,,–,–
1 948 743,,(166 831),–,–
2 857 341,,,–,–
1 986 960,,,–,–
793 226,,,–,–
(4 757 611),,,–,–
3 123 469,–,(166 831),–,–
6 791 125,–,(166 831),3 065 074,10 518 825
3 668 244,,,3 030 191,10 518 825
