2025,Column
"768
(450)","2 884
(1 283)"
"318
(270)","1 601
(1 472)"
"48
–
–
102","129
(22)
115
20"
"102
(3)
–","113
(88)
82"
(3),(6)
147,236
"(37)
–","(153)
(4)"
"110
(33)","79
(47)"
"77
(249)","32
–"
(172),32
(203),"19
13"
31,
(65),(208)
(65),(208)
