"ARC ARIC
Risk Total Life
Excluding Present adjustmen reinsuranc
loss Loss value of t for non- e contracts
recovery recovery future cash financial measured
component component Total ARC flows risk Total ARIC under PAA"
59 – 59 131 7 138 197
59 – 59 131 7 138 197
"(227) – (227) – – – (227)
– – – 147 – 147 147
– – – (7) (1) (8) (8)"
(227) – (227) 140 (1) 139 (88)
(227) – (227) 140 (1) 139 (88)
209 – 209 (164) – (164) 45
"209 – 209 – – – 209
– – – (164) – (164) (164)"
41 – 41 107 6 113 154
41 – 41 107 6 113 154
