"Present value
of future cash
flows","Risk
adjustment for
non-financial
risk",CSM,"Total
reinsurance
life risk
measured
under GMM"
10 905,1 519,2 139,14 563
–,–,–,–
10 905,1 519,2 139,14 563
(9 330),(1 118),(3 158),(13 606)
–,–,(3 158),(3 158)
–,(1 118),–,(1 118)
(9 330),–,–,(9 330)
2 191,703,3 417,6 311
(861),167,694,–
4 622,674,1 669,6 965
–,–,–,–
(1 570),(138),1 054,(654)
–,–,–,–
–,–,–,–
–,–,–,–
–,–,–,–
–,–,–,–
(7 139),(415),259,(7 295)
(5 262),188,160,(4 914)
(12 401),(227),419,(12 209)
15 066,–,–,15 066
15 066,–,–,15 066
–,–,–,–
–,–,–,–
13 570,1 292,2 558,17 420
13 570,1 292,2 558,17 420
–,–,–,–
