Details of directors,Column
Name,Position
Dr. Susan Mboya,Chairman – Non-executive Director
Mr. Mike du Toit,Managing Director
Mr. Gayling May,Non-executive Director
Mr. Peter Gethi,Non-executive Director
Mr. Philip Odera,Non-executive Director
Mr. Jeffrey Hubbard,Non-executive Director (appointed 06.06.2017)
Mr. Sandile Hlophe,Non-executive Director (resigned 31.01.2017)
