"Contractual cash flows (excluding policyholder liabilities, derivative liabilities and lease liabilities)",Column,Column,Column,Column,Column
"0 – 3
months(1)",3 – 12 months,"1 – 5
years","5 – 10
years",Variable,Total
730 783,1 665 268,–,–,–,2 396 051
730 783,1 665 268,–,–,–,2 396 051
30,70,–,–,,100
