2023,"Restated(1)
2022",2023,Column
671 979,"267 709
(988 659)
10 757
239 391
72 685
–",26 149,
(1 365 870),,–,
5 219,,–,
427 502,,–,
78 041,,–,
–,,–,
(183 129),"(398 117)
273 867
(49 208)
(979 064)
–
70 163
69 349
33 771
(71 471)
(771)
537
96 476
(801 818)",26 149,
412 026,,–,
2 209 468,,–,
(2 189 271),,–,
–,,–,
61 927,,–,
69 532,,–,
37 509,,–,
(57 786),,–,
(2 560),,–,
(2 180),,–,
145 546,,–,
(597 461),,–,
(96 379),"(1 756 286)
(439 377)",26 149,
72 207,,(37 411),
(207 324),"(82 251)
(357 126)",(39 349),"(10 749)
(14 147)"
279 531,,1 938,
(24 172),(2 195 663),(11 262),
