Revenue type,Description,Recognition and measurement
"Insurance premium income
(recognised under IFRS 4)","Life-insurance premiums and short-
term (including health) insurance
premiums","For long term insurance business, premiums are recognised as revenue
when they become payable by the contract holder. Premiums are shown
before deduction of commission. For short-term insurance business,
premium income is recognised on assumption of risks, and includes
estimates of premiums due but not yet received, less an allowance for
cancellations, and less unearned premium."
,,"Unearned premiums represent the proportion of the premiums written in
periods up to the accounting date that relates to the unexpired terms of
policies in force at the financial reporting date and is computed using the
365ths method. Premiums gross of any taxes or duties levied on premiums."
"Investment income (for
financial instruments, and
for rental income)","Comprises dividends, rental income,
and interest","Dividends – recognised when the right to receive payment is established,
dividends received are included in the fair value adjustments for financial
assets at fair value through profit or loss."
,,Rental income – accounted for on a straight-line basis under IFRS 16 Leases.
,,"Interest income and expenses for all interest-bearing financial instruments:
For financial instruments measured at fair value through profit or loss –
recognised within fair value adjustments under IFRS 9 in profit or loss."
,,"For financial assets held at amortised cost or classified at fair value through
other comprehensive income, as interest income on financial assets at
amortised cost and financial assets classified at fair value through other
comprehensive income; using the effective interest method"
Revenue recognition from contracts with customers,,
"Revenue from contracts with customers arises from transactions not associated with financial instruments, insurance contracts or investment
properties.",,
Fee revenue,"Management fees on assets under
management","Management fees on assets under management are recognised over
the period for which the services are rendered, in accordance with the
substance of the relevant agreements"
"Fee income on placement
of reinsurance","Fee income earned from reinsurers
on placement of short-term and long
term reinsurance contracts.",Recognised over the term of the contract.
