"General insurance risks measured under PAA - by class of
insurance business","Insurance Net of ceded
revenue insurance revenue1
KShs m KShs m"
,"3 616 3 070
1 214 318
2 004 1 928
1 394 921
422 159"
,8 650 6 396
,"3 261 1 660
1 265 326
1 929 1 837
1 299 857
439 170"
,8 193 4 850
