2019,2018,2019,Column
"(1,163,841)","(928,896)","270,055",
"(1,013,999)","(1,026,274)
12,492,908
(13,519,182)
415,752
–
(318,374)",–,"–
–
–
–
–
–"
"13,534,615","12,492,908
(13,519,182)",–,"–
–"
"(14,548,614)",,–,
"350,840",,–,
"(13,272)",,–,
"(487,410)",,–,
,"3,825,883
(94,160)
7,536
(78,295)
–
3,990,802
(323,186)
–
(323,186)",,
"(218,598)",,–,
"(33,555)","(94,160)
7,536
(78,295)
–
3,990,802",–,"–
–
–
–
–"
"4,674",,–,
"(85,417)",,–,
(638),,–,
"(103,662)",,–,
"(361,028)",,"(267,855)",
"(40,006)","–
(323,186)",–,"–
(267,855)"
"(321,022)",,"(267,855)",
"(1,743,467)","2 573,801
3 689,506
(22,384)","2,200",
"6,240,923",,"10,659",
"(3,776)",,–,
"4,493,680","6 240,923","12,859",
