RESOLUTION,VOTES,Column,Column,Column
,FOR,,AGAINST,
,VOTES,%,VOTES,%
"To consider and, if approved, adopt the Audited Financial Statements
of the Company for the year ended 31 December 2024 together with
the Directors’ Report and Auditors' Report.",398 303 043,99.989,42 000,0.011
"To consider and if thought fit, approve the recommendation by the
board for the payment of a first and final dividend of KShs. 1.0 per
ordinary share for the year ended 31 December 2024 incorporating a
dividend of KShs. 0.5 per share on account of the exceptional
financial performance in the year ended 31 December 2024. Subject
to shareholder approval, the published book closure date is 14 June
2025, and payment will be made on or before 24 August 2025.",398 344 943,100.000,100,0.000
"To consider and if thought fit, approve the recommendation by the
board for the payment of a further special dividend of KShs. 0.6 per
share on account of the proceeds received by the Company upon the
disposal of Heritage Insurance Tanzania. Subject to shareholder
approval, the published book closure date is 14 June 2025, and
payment will be made on or before 24 August 2025.",398 344 933,100.000,110,0.000
"In accordance with Article 101 of the Company's Articles of
Association, Mr. Peter Gethi retires by rotation and being eligible,
offer himself for re-election.",398 272 296,99.982,72 600,0.018
"In accordance with Article 101 of the Company's Articles of
Association. Ms. Rachel Mbai retires by rotation and being eligible,
offers herself for re-election",398 301 818,99.989,46 615,0.011
"To approve the Directors’ Remuneration policy and the Directors
Remuneration Report for the year ended 31 December 2024.",398 302 590,99.989,42 110,0.011
Stakeholder communication policy and Dispute resolution policy.,398 341 333,100.000,500,0.000
"To re-appoint PricewaterhouseCoopers as Auditors of the Company,
and to authorize the directors to fix their remuneration in
accordance with Sections 721(4) and 724(1) of the Companies Act
2025, respectively.",398 344 190,100.000,543,0.000
"To consider and if thought fit, to pass an ordinary resolution
pursuant to Section 769 (1) of the Companies Act, 2015, that
i. Mr. Rajesh Shah being a member of the Board Audit Committee,
be elected to continue to serve as a member of the Board Audit
Committee.
ii. Mr. Jeffrey Hubbard being a member of the Board Audit
Committee be elected to continue to serve as a member of the
Board Audit Committee.
iii. Ms. Rachel Mbai being a member of the Board Audit Committee
and subject to her re-election under 5(i) above, be elected to
continue to serve as a member of the Board Audit Committee.",398 344 323,100.000,610,0.000
