536,1 490,(103),1 872,5 394,388,9 577
–,–,(74),–,1 389,(37),1 278
–,–,–,–,1 389,13,1 402
–,–,(74),–,–,(50),(124)
–,–,–,110,(110),–,–
–,–,–,–,(200),(10),(210)
