"Policyholder
insurance
contract
liabilities","Reinsurance
assets","Investment
contracts
with DPF(1)"
6 791 125,(166 831),3 065 074
2 967 244,(289 714),351 644
2 617 686,(289 714),237 184
349 558,–,114 460
330 859,–,–
18 699,–,114 460
(3 755 435),350 109,(560 657)
(2 558 630),267 730,(426 823)
(529 306),82 379,(22 591)
(662 464),–,(90 562)
(5 035),–,(20 681)
453 787,(214 264),(33 122)
(207 677),–,–
535 280,(214 264),(33 122)
126 184,–,–
6 456 721,(320 700),2 822 939
