"Excluding
loss
component","Loss
component","Total
LRC","Present
value of
future
cash flows","Risk
adjustment
for non-
financial
risk","Total
LIC","Total General
insurance
non-medical
measured
under PAA"
2 332,82,2 414,6 561,197,6 758,9 172
–,–,–,–,–,–,–
2 332,82,2 414,6 561,197,6 758,9 172
(4 932),–,(4 932),–,–,–,(4 932)
1 128,(29),1 099,2 329,6,2 335,3 434
–,–,–,2 098,6,2 104,2 104
478,–,478,585,–,585,1 063
–,–,–,(354),–,(354),(354)
–,17,17,–,–,–,17
–,–,–,–,–,–,–
–,(46),(46),–,–,–,(46)
450,–,450,–,–,–,650
(3 804),(29),(3 833),2 329,6,2 335,(1 498)
2,–,2,201,–,201,203
–,–,–,–,–,–,–
(3 802),(29),(3 831),2 530,6,2 536,(1 295)
(2 208),12,(2 196),701,(17),684,(1 512)
5 817,–,5 817,(2 690),–,(2 690),3 127
7 168,–,7 168,–,–,–,7 168
–,–,–,(2 105),–,(2 105),(2 105)
(478),–,(478),(585),–,(585),(1 063)
(873),–,(873),–,–,–,(873)
(119),–,(119),(394),(17),(411),(530)
(595),(46),(641),(3 283),(106),(3 389),(4 030)
1 425,19,1 444,3 425,63,3 488,4 932
–,–,–,–,–,–,–
1 425,19,1 444,3 425,63,3 488,4 932
