"Reinsurance
life risk
measured
under GMM","Reinsurance
life risk
measured
under PAA","Reinsurance
non-life
measured
under PAA",Total
9 829,–,–,9 829
2 463,–,–,2 463
6 867,–,–,6 867
1 118,–,–,1 118
3 158,–,–,(3 777)
(3 777),–,–,3 158
–,1 230 959,3 048 310,4 279 269
9 829,1 230 959,3 048 310,4 289 098
–,–,–,–
–,–,–,–
–,(977 345),(2 774 428),(3 751 773)
(6 965),–,(32 742),(39 707)
654,–,–,654
3 777,–,34 372,38 149
–,–,–,–
–,–,–,–
–,(31 837),(123 232),(155 069)
7 295,221 777,152 280,381 352
