Column,"Restated1
2024",Column
2025,,2025
"416
6","1 315
(37)",1 465
422,1 278,1 465
"659
(243)","1 370
(55)",1 465
416,1 315,1 465
,"2.56
0.03
2.59",
"1.23
(0.38)
0.85",,
