Level 1,Level 2,Level 3,Total
2 168,–,–,2 498
2 168,–,–,2 168
–,–,330,330
–,–,–,25 103
–,25 103,–,25 103
–,–,1 216,1 216
2 168,25 103,1 546,28 817
–,–,–,1 447
–,–,–,146
–,–,–,52
–,–,–,6
–,–,–,1 884
–,–,–,542
–,–,–,746
–,–,–,5 334
–,–,–,9 109
–,–,–,66
2 168,25 103,1 546,48 149
