"Long-term
business","General
business","Holding
company","Consolidation
adjustments(1)",IFRS reported
,665,–,–,951
,795,140,(277),1 424
,(42),–,–,(428)
,1 418,140,(277),1 947
,–,–,–,149
,(378),(114),121,(1 074)
,(6),–,7,(2)
,1 034,26,(149),1 020
,(311),–,–,(389)
,723,26,(149),631
,41,–,–,
,764,26,(149),672
,13,–,–,13
,777,26,(149),685
,(22),–,–,(22)
,755,26,(149),663
