Kenya,Tanzania,"IFRS
reported"
37 099 324,3 376 984,40 476 308
171 779,11 644,183 423
54 999,7 965,62 964
1 401 215,14 142,1 415 357
–,–,–
1 216 000,–,1 216 000
625 263,–,625 263
22 160 497,130 228,22 290 725
1 648 024,,1 648 024
2 055 412,1 337 720,3 393 132
7 766 135,1 875 285,9 641 420
29 066 662,2 594 921,31 661 583
12 476 848,1 929 736,14 406 584
3 065 074,–,3 065 074
10 518 825,–,10 518 825
3 005 915,665 185,3 671 100
