Column,"Impact on ordinary shareholders’ equity and
attributable profit after taxation",Column,Column
"Change in
variable(1)%",Gross of reinsurance,Net of reinsurance,"Impact on CSM
(net of reinsurance
and taxation)"
+4.5,(35.3),(31.5),(17.1)
+6.52,(0.3),(0.3),(1.6)
+10,(42.8),(33.9),(0.1)
+10,(16.1),(15.1),3.3
-10,46.0,45.6,(45.0)
+5.5,(52.8),(52.8),(48.5)
+10,(56.9),(48.4),(20.2)
+19,(81.4),(64.6),(0.5)
+21,(5.5),(4.8),4.1
