2019,2018,2019,Column
,"924,956
(415,752)
-
(425,765)
(72,268)",,
"1,199,372",,"278,131",
"(350,840)",,–,
"13,272",,–,
"945,681",,–,
"(128,529)",,–,
"1,678,956","11,171","278,131",
,"(1 393,275)
211,731
26,588
60,080
44,687
–
10,807
–
(1,588,489)
–",,
"64,333",,–,
"209,530",,–,
"72,268",,–,
"74,406",,–,
"48,115",,–,
"37,640",,–,
"7,479",,–,
"9,843",,–,
"(3,078,216)",,–,
–,,–,
"(875,646)","(2,616,700)
1,590,426
2,069,575
(479,149)","278,131",
"(138,353)",,"(8,076)",
"(78,822)","2,069,575
(479,149)",–,"101
(341,262)"
"(59,531)",,"(8,076)",
"(1,013,999)","(1,026,274)","270,055",
