Column,2017,2016
,Shs ‘000,Shs ‘000
Due to Group companies,"381,251","187,359"
Due from Group companies,"(362,008)","(148,170)"
Net borrowings,"19,243","39,190"
Less: Cash and cash equivalents,"(17,349)","(12,385)"
Net debt,"1,894","26,804"
Total equity,"2,310,409","3,027,359"
Gearing ratio,0.08%,0.89%
