"Number of
shares held",Percentage
393 569 465,73.47%
82 250 289,15.35%
27 000 000,5.04%
4 602 008,0.86%
3 035 403,0.57%
1 490 597,0.28%
1 468 400,0.27%
680 000,0.13%
481 600,0.09%
461 100,0.09%
515 038 861,96.14%
