Kenya,Tanzania,"IFRS
reported"
42 815,5 334,48 149
146,–,146
52,–,52
1 447,–,1 447
1 216,–,1 216
27 601,–,27 601
542,–,542
1 884,–,1 884
–,5 334,5 334
9 927,–,9 927
33 024,4 480,37 504
18 937,–,18 937
11 021,–,11 021
–,4 480,4 480
3 066,–,3 066
