Column,Column,Group,Column,Company,Column
,,2022,2021,2022,
Interests in subsidiaries,7,–,–,2 701 541,2 571 541
Intangible assets,3,1 414 370,1 415 357,–,–
Owner-occupied properties,4.1,1 216 000,1 216 000,–,–
Equipment,5,215 838,183 423,–,–
Right-of-use assets,6.1,96 274,62 964,–,–
Deferred taxation,14,159 089,187 820,–,–
Financial investments,9.1,23 096 106,22 290 725,–,–
Policy and staff loans receivable,9.1,1 400 034,1 648 024,–,–
Deferred acquisition costs,8,180 454,147 548,–,–
Reinsurance assets,,4 133 211,3 393 132,–,–
Short-term insurance,15.1,3 812 511,3 226 301,–,–
Long-term insurance,12,320 700,166 831,–,–
Current taxation,33,208 433,157 946,–,–
Intergroup balances with subsidiaries,7.3,–,–,10 204,–
"Prepayments, insurance and other receivables",10,1 372 935,1 292 202,545,–
Investment properties held for sale,4.1,118 420,625 263,–,–
Cash and cash equivalents,11,8 420 431,7 855 904,30 529,10 151
,,42 031 595,40 476 308,2 742 819,
Lease liabilities,16.1,112 040,78 863,–,–
Long-term policyholder liabilities,,19 997 334,20 375 024,–,–
Insurance contracts,12,6 456 721,6 791 125,–,–
"Investment contracts with discretionary participation
features",12,2 822 939,3 065 074,–,"–
–"
Financial liabilities under investment contracts,13,10 717 674,10 518 825,–,
Deferred taxation,14,1 021 032,1 050 886,–,–
Short-term insurance liabilities,15.1,8 698 157,7 615 459,–,–
Intergroup balances with subsidiaries,7.3,–,–,4 000,–
Insurance and other payables,18,2 767 513,2 396 051,21 502,39 649
Employee benefits,17.1,174 339,145 301,–,–
,,32 770 415,31 661 584,25 502,
Ordinary shareholders’ equity,,8 876 391,8 501 900,2 717 317,2 542 043
Share capital,21,535 707,535 707,535 707,535 707
Share premium,21,1 490 480,1 490 480,1 490 480,"1 490 480
515 856
–"
Retained surplus,,4 876 418,4 478 329,691 130,
Other reserves,,1 973 786,1 997 384,–,
Non-controlling interests,30.1,384 789,312 824,–,–
,,9 261 180,8 814 724,2 717 317,
,,42 031 595,40 476 308,2 742 819,
