2022,2021,2022,2021,2022,Column
217 467,92 807,–,–,–,
10 151,"10 319
106 645",–,–,–,"–
–"
207 316,,–,,–,
192 849,100 504,41 573,32 691,6 640,
20 378,"(168)
100 672",–,"–
32 691",41,"57
6 702"
172 471,,41 573,,6 599,
410 316,217 467,–,–,–,
30 529,"10 151
207 316",–,"–
–",–,"–
–"
379 787,,–,,–,
410 316,217 467,41 573,32 691,6 640,
