Column,"Number of
shareholders","Number of shares
held",Shareholding %
1-500,"1,753","369,779",0.0718%
"501-5,000","1,463","2,558,761",0.4966%
"5,001-10,000",463,"3,531,446",0.6854%
"10,001-100,000",323,"9,299,484",1.8048%
"100,001-1,000,000",30,"8,078,296",1.5677%
"Over 1,000,000",9,"491,432,598",95.3737%
Total,"4,041","515,270,364",100%
