18,Other payables,95
19,"Summary of the group’s financial assets and property
per class",95
20,Fair value hierarchy,96
21,Share capital and share premium,103
22,Insurance revenue,103
23,Insurance service expenses,104
24,Net expense from reinsurance contracts held,106
25,Investment income,107
26,"Interest on financial assets using the effective
interest method",108
27,"Fair value adjustments to assets held at fair value
through profit or loss",108
28,Fair value adjustments to financial liabilities,108
29,Finance expenses from insurance contracts issued,109
30,Finance expenses from reinsurance contracts held,110
31,Revenue from contracts with customers,110
32,Operating expenses,111
33,Finance costs,111
34,Taxation,112
35,"Details of non-wholly-owned subsidiaries that have
significant non-controlling interests",113
36,Cash (utilised in)/generated from operations,114
37,Taxation paid,115
38,Related party disclosures,116
39,"Impact on adoption of IFRS 17 insurance contracts on
statement of financial position",120
40,Commitments,123
