"Present
value of
future
cash flows","Risk
adjustment
for non-
financial risk",CSM,"Total life
participating
contracts
measured
under VFA"
8 217,74,589,8 880
–,–,–,–
8 217,74,589,8 880
27,(9),(117),(99)
–,–,(117),(117)
–,(9),–,(9)
27,–,–,27
116,6,(80),42
92,4,(96),–
50,–,(14),36
(26),2,30,6
–,–,–,–
–,–,–,–
143,(3),(197),(57)
2 126,10,90,2 226
–,–,–,–
2 269,7,(107),2 169
(952),–,–,(952)
1 628,–,–,1 628
(2 232),–,–,(2 232)
(238),–,–,(238)
(110),–,–,(110)
–,–,–,–
9 534,81,482,10 097
–,–,–,–
9 534,81,482,10 097
