Column,"Share
Capital","Share
Premium","Currency
translation","Statutory
reserve","Revaluation
reserve","Revenue
reserve","Non
controlling
interest",Total equity
,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000
Balance at 1 January 2017,"535,707","1,490,480","(58,008)","1,359,030","148,278","2,946,229","331,925","6,753,641"
Profit for the year,-,-,-,-,-,"824,702","20,782","845,484"
,-,,,,,,,"50,006"
,-,,,,,,,"(23,250)"
,,,,,,,,"(4,244)"
,-,,,,,,,"77,500"
"Total comprehensive
income for the year",-,-,"(6,914)","(1,623)","63,210","825,860","15,180","895,713"
,,,,,,,,"18,519"
,,,,,,,,-
,,,,,,,,"(165,228)"
,,,,,,,,"(74,074)"
"Total contributions with
owners of the company",-,-,-,"394,874",-,"(560,102)","(55,555)","(219,064)"
"Balance at 31 December
2017","535,707","1,490,480","(64,922)","1,752,281","211,488","3,211,987","291,550","7,428,571"
