Column,Column,Group,Column,Column,Company,Column
,Notes,,2022,2021,2022,
Insurance premiums,22,,12 359 616,11 411 462,–,–
Reinsurance premiums,22,,(4 998 664),(4 682 805),–,–
,,,7 360 952,6 728 657,–,
"Revenue from contracts with customers and fee income on
placement of reinsurance",23.1,,1 368 882,1 335 589,–,–
Investment and sundry income,24.1,,41 033,46 649,350 000,200 000
"Interest income on financial assets using the effective
interest rate method",24.2,,799 081,643 753,–,–
"Fair value adjustments to assets held at fair value
through profit or loss",25,,896 726,2 158 708,–,–
,,,10 466 674,10 913 356,350 000,
Claims and policyholder benefits under insurance contracts,26,,(7 172 622),(8 201 331),–,–
Insurance claims recovered from reinsurers,26,,1 884 542,1 968 149,–,–
Change in long-term policyholder assets and liabilities,,,730 408,965 187,–,–
Liabilities under insurance contracts,12,,334 404,( 62 532),–,–
Investment contracts with discretionary participation features,12,,242 135,863 792,–,–
Applicable to reinsurers,12,,153 869,163 927,–,–
"Fair value adjustment to long-term policyholder liabilities under
investment contracts",13,,( 392 816),( 854 885),–,–
Acquisition costs,27,,(1 893 362),(1 686 566),–,–
General marketing and administration expenses,28,,(2 946 450),(2 781 576),( 174 726),( 190 210)
Finance costs,29,,( 10 757),( 10 788),–,–
,,,665 617,311 546,175 274,
Taxation,31.1,,( 286 879),( 229 719),–,–
,,,378 738,81 827,175 274,
Other comprehensive income,,,67 718,27 712,–,–
Items that may be reclassified subsequently to profit or loss,,,67 718,27 712,–,–
Foreign currency translation,,,67 718,27 712,–,–
,,,446 456,109 539,175 274,
Shareholders’ equity,,,333 860,80 157,175 274,9 790
Non-controlling interests,30.1,,44 878,1 670,–,–
,,,378 738,81 827,175 274,
Shareholders’ equity,,,374 491,96 782,175 274,9 790
Non-controlling interests,30.2,,71 965,12 757,–,–
,,,446 456,109 539,175 274,
,,,0.62,,,
