"Present value
of future
cash flows","Risk
adjustment for
non-financial
risk",CSM,Total annuities
628 428,1 182,20 993,650 603
–,–,–,–
628 428,1 182,20 993,650 603
2 346,(123),(3 971),(1 748)
–,–,(3 971),(3 971)
–,(123),–,(123)
2 346,–,–,2 346
(16 987),2 006,14 981,–
22 521,617,(23 138),–
–,–,–,–
(39 508),1 389,38 119,–
–,–,–,–
–,–,–,–
–,–,–,–
–,–,–,–
(14 641),1 883,11 010,(1 748)
37 550,123,4 601,42 274
–,–,–,–
22 909,2 006,15 611,40 526
236 768,–,–,236 768
338 187,–,–,338 187
(98 240),–,–,(98 240)
(1 052),–,–,(1 052)
(2 127),–,–,(2 127)
–,–,–,–
888 105,3 188,36 604,927 897
–,–,–,–
888 105,3 188,36 604,927 897
