"(47,503)","1,760,461","217,369","3,381,579","281,046","7,619,139"
"–
–
–
–
(703)","–
–
–
–
(1,394)","–
(8)
2,826
(2,798)
–","701,203
–
–
–
(1,097)","39,190
–
–
–
(2,444)","740,393
(8)
2,826
(2,798)
(5,638)"
(703),"(1,394)",20,"700,106","36,746","734,775"
"–
–","49,332
–","–
–","(49,332)
(267,854)","–
(53,168)","–
(321,022)"
–,"49,332",–,"(317,186)","(53,168)","(321,022)"
"(48,206)","1,808,399","217,389","3,764,499","264,624","8,032,892"
