Amendments to Supplier Finance Arrangements (IAS 7 and IFRS 7),Effective date
"The IASB issued Supplier Finance Arrangements to require an entity to provide additional disclosures about its supplier
finance arrangements. The IASB developed the new requirements to provide users of financial statements with
information to enable them: to assess how supplier finance arrangements affect an entity’s liabilities and cash flows;
and to understand the effect of supplier finance arrangements on an entity’s exposure to liquidity risk and how the
entity might be affected if the arrangements were no longer available to it.",1 January 2024
IAS 21 Exchange Rates (Amendment) Lack of Exchangeability,1 January 2025
"The IASB issued Lack of Exchangeability to require an entity to apply a consistent approach to assessing whether a
currency is exchangeable into another currency and, when it is not, to determining the exchange rate to use and the
disclosures to provide. These amendments will assist companies and investors by addressing a matter not previously
covered in the accounting requirements for the effects of changes in foreign exchange rates.",
