"Policyholder
insurance
contract
liabilities","Reinsurance
assets","Investment
contracts
with DPF(1)"
6 728 593,(2 904),3 928 866
3 497 826,(342 502),590 137
2 455 732,(342 502),243 247
1 042 094,–,346 890
319 654,–,–
722 440,–,346 890
(3 778 330),366 021,(1 407 295)
(2 801 404),265 510,(1 258 719)
(430 447),100 511,(28 086)
(595 051),–,(93 251)
48 572,–,(27 239)
343 036,(187 446),(46 634)
122 749,–,–
106 146,(187 446),(46 634)
114 141,–,–
6 791 125,(166 831),3 065 074
(62 532),163 927,863 792
146 005,(166 831),(50 375)
6 645 120,–,3 115 449
