Column,"Contractual cash flows (excluding IFRS 17 insurance contract
balances)",Column,Column
,"0 – 3 3 – 12 1 – 5 5 – 10
Variable Total
months1 months years years",,
,"1 516 - - - - 1 516
- 12 441 - - - 12 441
15 - 105 - - 120
- 25 35 - - 60",,
,- 210,–,- - 210
,1 531 12 676 140 14 347,,
,11 % 88 % 1 % % % 100 %,,
2024,,,
