Column,Column,Group,Column,Column,Company,Column
,,2023,"Restated
Restated 1 January
2022(1) 2022(1)",,2023,
Interests in subsidiaries,7,–,–,–,2 701 541,2 701 541
Intangible assets,3,1 480 527,1 414 370,1 415 357,–,–
Owner-occupied properties,4.2,1 216 000,1 216 000,1 216 000,–,–
Equipment,5,200 105,215 838,183 423,–,–
Right-of-use assets,6.1,86 963,96 274,62 964,–,–
Deferred taxation,14,196 263,210 297,239 556,–,–
Financial investments,8.1,20 344 512,23 096 104,23 938 749,–,–
Staff loans receivable,8.1,635 271,742 084,979 699,–,–
Reinsurance contract assets,12.1,5 737 041,3 547 770,2 568 706,–,
Current taxation,37,125 010,208 394,157 946,–,–
Intergroup balances with subsidiaries,7.3,–,–,–,28 166,10 204
Prepayments and other receivables,9,882 162,674 839,592 588,21 932,545
Investment properties held for sale,4.3,–,118 420,625 263,–,–
Cash and cash equivalents,10,12 857 391,8 566 284,7 855 904,19 267,30 529
,,43 761 245,40 106 674 39 836 155,,2 770 906,
Lease liabilities,16.1,100 151,112 040,78 863,–,–
Insurance contract liabilities,11,23 862 849,21 653 381,21 702 589,–,
Financial liabilities under investment contracts,13,7 087 530,6 597 463,6 250 911,–,–
Deferred taxation liability,14,927 190,913 790,986 713,–,–
Financial liabilities,15,180 199,163 689,125 338,–,
Intergroup balances with subsidiaries,7.3,–,–,–,4 000,4 000
Other payables,18,1 831 485,1 600 503,1 986 667,23 440,21 502
Employee benefits,17,195 030,174 339,145 301,–,–
,,34 184 434,31 215 205 31 276 382,,27 440,
Ordinary shareholders’ equity,,9 189 201,8 525 579,8 264 383,2 743 466,2 717 317
Share capital,21,535 707,535 707,535 707,535 707,535 707
Share premium,21,1 490 480,1 490 480,1 490 480,1 490 480,"1 490 480
691 130
–"
Retained surplus,,5 393 935,4 771 737,4 389 116,717 279,
Other reserves,,1 769 079,1 727 655,1 849 080,–,
Non-controlling interests,35.1,387 610,365 890,295 390,–,–
,,9 576 811,8 891 469 8 559 773,,2 743 466,
,,43 761 245,40 106 674 39 836 155,,2 770 906,
