WILLIAMSON TEA KENYA LIMITED,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
UNAUDITED RESULTS FOR THE 6 MONTHS ENDED 30 SEPTEMBER 2012,,,,,,,,,,
CONSOLIDATED STATEMENT OF COMPREHENSIVE INCOME,,,,,,,,CONSOLIDATED STATEMENT OF FINANCIAL POSITION,,
,,,,30.09.2012,30.09.2011,,,,30.09.2012,30.09.2011
,,,,Kshs'000,Kshs'000,,,,Kshs'000,Kshs'000
Turnover,,,,"1,502,746","1 ,556,129",,,Capital and reserves,,
,,,,,,,,Share Capital,"43,782","43,782"
Profit from operations before biological assets valuation,,,,"125,858","4 38,382",,,Capital reserves,"586,797","2 39,867"
Gain on sale of investment property,,,,-,"1 44,642",,,Revenue reserves,"4 ,344,655","4 ,526,843"
Increase in fair value of biological assets,,,,"192,583","2 86,367",,,,"4 ,975,234","4 ,810,492"
Finance income,,,,"1 9,594","9 8,082",,,Non-controlling interest,"179,977","1 54,386"
Share of results of associated Companies,,,,"5 9,982","1 05,888",,,Total Equity,"5 ,155,210","4 ,964,878"
Profit before taxation,,,,"398,017","1 ,073,361",,,,,
Tax charge,,,,"(119,405)","(267,647)",,,Non current liabilities,,
,,,,"278,612","8 05,714",,,Deferred Taxation,"1 ,172,176","9 85,775"
Attributable to:,,,,,,,,Employee benefit obligations,"163,649","1 51,448"
Equity Holders of the parent,,,,"261,406","7 82,966",,,Borrowings & Finance lease,-,"29,129"
Non-controlling interest,,,,"1 7,206","2 2,748",,,,"1 ,335,825","1 ,166,352"
Profit after tax attributable to members,,,,"278,612","8 05,714",,,,"6 ,491,035","6 ,131,230"
Comprising:,,,,,,,,,,
Profit arising from operating activities,,,,"135,915","5 89,665",,,REPRESENTED BY:,,
Profit arising from changes in fair value of biological assets,,,,"125,491","1 93,301",,,Non current assets,,
Non-controlling interest,,,,"1 7,206","2 2,748",,,"Property , Plant and Equipment","1 ,445,211","9 44,002"
,,,,"278,612","8 05,714",,,Intangible assets,"1,883",921
,,,,,,,,Prepaid Operating Lease Rentals,"76,862","76,920"
Issued Shares of Kshs 5 each,,,,"8,756,320","8 ,756,320",,,Investments,"825,695","8 06,595"
Earnings per share (Kshs),,,,2 9.85,89.42,,,Biological Assets,"2 ,625,781","2 ,261,103"
,,,,,,,,,"4 ,975,432","4 ,089,541"
,,,,,,,,Current assets,,
