Revenue Reserves,Column
"Biological Assets
gains/(losses) Other Total
Shs'000 Shs'000 Shs'000
1,353,175 3,648,532 5,001,707
6,273 (69,423) (63,150)
(350,253) ( 350,253)",
"1,359,448 3,228,856 4,588,304","5 ,706,374 187,791 5,894,165"
"1,441,902 3,375,520 4,817,422
43,902 (17,659) 26,243
(350,253) ( 350,253)","5 ,941,322 194,853 6,136,175
26,243 7,674 33,917
(350,253) ( 7,087) ( 357,340)"
"1,485,804 3,007,608 4,493,412","5 ,617,312 195,440 5,812,752"
