GROUP,Column,BANK,Column
"Dec. 2014
Shs 000
Audited
1 7,290,845
3 ,213,953
3 03,218
-","Dec. 2013
Shs 000
Audited
14,154,675
2,374,025
650,361
-
17,179,061
5,771,402
258,368
146,653
6,176,423
11,002,638
756,818
1,276,250
1,223,278
3,755
117,653
3,377,754
14,380,392
926,574
2,820,117
82,115
453,121
476,783
137,888
2,252,755
7,149,353
7,231,039
-
7,231,039
3,964
7,235,003
( 2,462,210)
457,961
5,230,754
474,119
4,756,635","Dec. 2014
Shs 000
Audited
11,958,463
2,199,023
107,887
10,415","Dec. 2013
Shs 000
Audited
9,962,725
2,053,099
95,780
12,831"
"2 0,808,016",,"14,275,788","12,124,435"
"7 ,542,290
2 26,808
2 51,317",,"5,089,101
166,874
177,275","3,966,134
165,569
144,416"
"8 ,020,415",,"5,433,250","4,276,119"
"1 2,787,601",,"8,842,538","7,848,316"
"8 52,973
1 ,465,116
1 ,361,732
-
1 16,909",,"510,757
703,414
806,657
36,816
44,522","466,439
644,947
796,330
32,265
53,383"
"3 ,796,730",,"2,102,166","1,993,364"
"16,584,331",,"10,944,704","9,841,680"
"8 71,089
2 ,863,885
8 7,299
4 52,507
7 05,726
2 05,264
2 ,881,836",,"490,380
1,655,516
49,140
227,393
429,842
147,611
1,637,750","601,987
1,576,750
39,368
255,361
256,182
111,915
1,433,721"
"8 ,067,606",,"4,637,632","4,275,284"
"8 ,516,725
-",,"6,307,072
-","5,566,396
-"
"8 ,516,725
4 ,561",,"6,307,072
-","5,566,396
-"
"8 ,521,286
(2,929,851)
1 16,995",,"6,307,072
( 2,225,447)
70,813","5,566,396
( 1,949,583)
441,084"
"5,708,430
6 24,911",,"4,152,438
-","4,057,897
-"
"5,083,519",,"4,152,438","4,057,897"
