Manufacturing,"Wholesale
and retail
trade","Transport and
communications","Business
and
financial
services",Agriculture,"Building and
construction
and real
estate","Retail
housing","Tourism
and hotels",Individuals,Others,Total
Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
-,-,"1,289,691","50,000",-,-,-,-,-,-,"1,339,691"
"23,687,437","29,462,185","15,589,924","17,317,195","9,516,724","40,826,437","1,400,797","27,119,560","5,596,147","257,093","170,773,499"
-,-,-,"3,850,652",-,-,-,-,-,-,"3,850,652"
-,-,-,-,-,-,-,-,-,"915,245","915,245"
"23,687,437","29,462,185","16,879,615","21,217,847","9,516,724","40,826,437","1,400,797","27,119,560","5,596,147","1,172,338","176,879,087"
"15,612,816","10,294,842","2,108,789","1,059,203","1,660,230","1,785,090","12,151","130,407","20,012","393,827","33,077,367"
"1,691,458","2,552,366","3,292,234","72,000","15,369","2,855,636",-,"174,725","222,942",-,"10,876,730"
"17,304,274","12,847,208","5,401,023","1,131,203","1,675,599","4,640,726","12,151","305,132","242,954","393,827","43,954,097"
