Column,Group,Column,Bank,Column
Note,2025,2024,2025,2024
,Shs’000,Shs’000,Shs’000,Shs’000
,,"*Restated
8,819,409
(5,901,059)
4,756,204
367,038
(358,841)",,
,"10,707,199",,"7,857,046",
,"2,022,709",,-,
,"11,790,926",,"11,086,815",
,"(211,296)",,-,
,-,,-,
,"13,602,339","(1,136,658)","11,086,815",
,"24,309,538","7,682,751","18,943,861",
,,"8,567,730
(884,979)",,
,"22,718,284",,"18,943,861",
,"1,591,254",,-,
,"24,309,538","7,682,751","18,943,861",
