Net Loans & Advances,Column,Column,Column
,Percentage Contribution,,
,2021,2022,2023
DTB Kenya,72%,70%,67%
DTB Uganda,10%,11%,12%
DTB Tanzania,17%,18%,20%
DTB Burundi,1%,1%,1%
