2015,2016,2015
Shs’000,Shs’000,Shs’000
"25,919,313","21,504,053","17,847,132"
"(9,618,526)","(9,129,020)","(6,302,151)"
"2,773,883","1,682,036","1,417,709"
"1,938,708","1,334,166","1,105,884"
"27,897","13,305","21,191"
"(7,031,506)","(4,470,233)","(4,057,079)"
"(3,273,623)","(3,148,222)","(2,489,753)"
"10,736,146","7,786,085","7,542,933"
"(3,108,484)","(2,117,086)","(1,650,636)"
"(11,942,940)","(37,043,922)","(11,585,272)"
"(40,504,840)","(13,546,501)","(33,129,451)"
-,"113,589","75,113"
"31,625,351","42,370,414","24,141,052"
"(459,844)","(321,482)","(448,092)"
"1,911,761","(818,851)","2,659,083"
"(11,742,850)","(3,577,753)","(12,395,270)"
"(1,226,345)","(891,102)","(623,020)"
"(241,149)","(410,424)","(189,542)"
"(8,441)","(1,151,558)","(1,097,214)"
-,"(10,531)",-
"47,132","1,355","44,613"
-,"58,076","33,301"
"(1,428,803)","(2,404,184)","(1,831,862)"
"12,865,300","10,279,284","12,865,300"
"(867,278)","(14,499,774)","(850,332)"
"(459,844)","(910,660)","(450,026)"
"322,982",-,-
-,"(133,041)",-
"(581,064)","(605,275)","(581,064)"
"(23,824)",-,-
"11,256,272","(5,869,466)","10,983,878"
"(1,915,381)","(11,851,403)","(3,243,254)"
"17,777,150","4,753,747","7,997,001"
"(592,014)",-,-
"17,185,136","4,753,747","7,997,001"
"15,269,755","(7,097,656)","4,753,747"
