"(22,769,556)",Column,"(23,502,896)"
"40,129,625",,"28,054,856"
"(14,271,594)",,"(11,026,414)"
"(5,190,971)",,"(4,080,585)"
"(2,102,496)","3,147,031","(10,555,039)"
,"(762,109)
(155,761)
215,285
9,960
-",
"(1,774,397)",,"(963,154)"
"(516,785)",,"(296,601)"
"(10,594)",,"(10,594)"
"6,818",,742
-,,"150,000"
"(2,294,958)","(692,625)","(1,119,607)"
,"3,276,000
(2,853,739)
(728,338)
(858,975)
-",
"12,437,500",,"12,437,500"
"(7,354,414)",,"(7,196,921)"
"(1,234,359)",,"(764,471)"
"(948,915)",,"(397,521)"
"(838,807)",,"(838,807)"
"2,061,005","(1,165,052)","3,239,780"
"(2,336,449)","1,289,354","(8,434,866)"
"12,774,268","10,543,897
941,017","(54,650)"
"(1,169,988)",,-
"11,604,280","11,484,914","(54,650)"
"9,267,831","12,774,268","(8,489,516)"
