"6,326,260","207,081","399,972","29,832","6,963,145"
"4,508,727","1,139,499","1,006,984","300,418","6,955,628"
"73,156",-,-,-,"73,156"
"88,088,965","19,663","2,553,020",15,"90,661,663"
"98,997,108","1,366,243","3,959,976","330,265","104,653,592"
"61,125,675","2,947,414","2,856,600","325,912","67,255,601"
"13,512,540","8,158","271,625","53,707","13,846,030"
"421,843","3,114",334,640,"425,931"
"22,041,776",-,-,"20,453","22,062,229"
"97,101,834","2,958,686","3,128,559","400,712","103,589,791"
"1,895,274","(1,592,443)","831,417","(70,447)","1,063,801"
"(2,868,791)","999,470","(768,882)","119,214","(2,518,989)"
"(973,517)","(592,973)","62,535","48,767","(1,455,188)"
"93,936,256","923,313","4,073,532","337,030","99,270,131"
"91,008,514","2,649,712","3,111,958","504,455","97,274,639"
"2,927,742","(1,726,399)","961,574","(167,425)","1,995,492"
"(1,552,883)","1,358,196","(1,156,418)","(89,953)","(1,441,058)"
"1,374,859","(368,203)","(194,844)","(257,378)","554,434"
