"Mandatorily at
FVPL","Designated at
FVPL","Investments at
FVOCI",Amortised cost,"Total carrying
amount"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
-,-,-,"15,803,197","15,803,197"
-,"509,115","59,655,225","73,529,470","133,693,810"
-,-,-,"8,389,828","8,389,828"
-,-,-,"177,757,616","177,757,616"
-,-,"50,000",-,"50,000"
-,-,-,"1,280,435","1,280,435"
-,"509,115","59,705,225","276,760,546","336,974,886"
-,-,-,"250,592,898","250,592,898"
-,-,-,"22,213,787","22,213,787"
-,-,-,"2,777,607","2,777,607"
-,-,-,"24,699,186","24,699,186"
-,-,-,"2,552,003","2,552,003"
-,-,-,"302,835,481","302,835,481"
