Column,Share capital,"Share
premium","Statutory credit
loss reserve","Other
reserves",Retained earnings,"Proposed
dividends",Total
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
,"1,118,409","9,006,569","5,805,09 6","(1,788,257)","49,438,206","1,957,216",
,--,-,--,-,"7,857,046",-,
,-,-,-,"11,086,815",-,-,
,-,-,-,"(30,408)","30,408",-,
,-,-,-,"4,561","(4,561)",-,
,-,-,"(1,062,192)",-,"1,062,192",-,
Total comprehensive income,-,-,"(1,062,192)","11,060,968","8,945,085",-,"18,943,861"
,-,-,-,"(520,320)","281,595",-,
,-,-,-,-,-,"(1,957,216)",
,-,-,-,-,"(2,516,420)","2,516,420",
"Total transactions with owners, recognised directly in equity",-,-,-,-,"(2,516,420)","559,204","(1,957,216)"
At end of year,"1,118,409","9,006,569","4,742,904","8,752,391","56,148,466","2,516,420","82,285,159"
