Q3 2025,Q3 2024,YOY
25.1,21.3,17.8%
9.1,9.7,(6.2%)
34.3,31.0,10.6%
17.4,15.8,10.1%
16.9,15.2,11.2%
5.7,5.3,7.5%
11.2,9.8,14.3%
8.4,7.4,13.5%
7.5,6.5,15.4%
26.7,23.3,14.8%
6.4%,5.8%,-60bps
50.8%,50.9%,-40bps
2.6%,2.4%,20bps
