FY' 24,FY' 23,YOY
28.4,27.6,2.9%
13.0,12.1,6.6%
41.4,39.7,4.0%
21.4,20.5,4.4%
20.0,19.2,4.2%
8.7,10.3,-15.5%
11.3,8.9,27.0%
8.8,7.8,12.8%
7.6,6.9,10.1%
27.33,24.60,11.1%
6.9%,5.8%,110bps
53.4%,51.7%,170bps
2.5%,3.4%,-90bps
