FY’24 Performance (KES billion),Column,Column,Column
,FY’24,FY' 23,YOY
Assets,,,
Balances due from Central Banks,26.9,38.0,-29.2%
Investment in Government Securities,126.2,120.1,5.1%
Loans and advances to customers (net),285.3,308.5,-7.5%
Total Assets,573.9,635.0,-9.6%
Liabilities,,,
Customer Deposits,447.2,486.1,-8.0%
Balances due to CBK,-,13.0,-100.0%
Balances due to banks,17.1,12.3,39.0%
Borrowed funds,3.7,24.0,-84.6%
Total Liabilities,481.5,548.7,-12.2%
,63.8%,61.8%,200bps
,53.9%,53.5%,40bps
,12.3%,13.0%,-70bps
,18.3%,16.1%,220bps
