"Mandatorily at
FVTPL","Designated at
FVTPL","Investments at
FVOCI",Amortised cost,"Total carrying
amount"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
-,-,-,"17,219,059","17,219,059"
-,"41,022,810",-,"83,286,893","124,309,703"
-,-,-,"3,850,652","3,850,652"
-,-,-,"159,180,869","159,180,869"
-,-,"1,339,691",-,"1,339,691"
-,-,-,"915,245","915,245"
-,"41,022,810","1,339,691","264,452,718","306,815,219"
-,-,-,"225,782,765","225,782,765"
-,-,-,"11,672,102","11,672,102"
-,-,-,"9,512,034","9,512,034"
-,-,-,"19,205,520","19,205,520"
-,-,-,"2,478,269","2,478,269"
-,-,-,"268,650,690","268,650,690"
