"2016
Shs’000","2015
Shs’000","2014
Shs’000","2013
Shs’000","2012
Shs’000"
"20,455,051","15,927,331","13,038,918","11,149,291","9,246,386"
"4,996,542","4,697,929","3,776,851","3,349,992","3,074,041"
"25,451,593","20,625,260","16,815,769","14,499,283","12,320,427"
"15,193,038","11,715,470","9,372,496","8,133,815","7,012,595"
"(4,197,342)","(2,150,278)","(851,210)","(898,812)","(984,696)"
"10,995,696","9,565,192","8,521,286","7,235,003","6,027,899"
"7,173,939","5,912,082","5,083,519","4,756,635","3,627,766"
"328,044,501","271,608,597","211,539,412","166,520,351","135,461,412"
"186,303,191","177,544,871","137,654,551","110,945,439","87,707,243"
"255,679,442","202,458,255","163,348,180","133,506,710","109,702,558"
"41,029,312","34,134,437","28,963,235","20,950,855","16,522,162"
"692,435","605,275","581,064","462,210","418,190"
Shs 26.94,Shs 24.42,Shs 21.92,Shs 20.97,Shs. 17.44
Shs 26.94,Shs 22.20,Shs 19.09,Shs 17.86,Shs. 13.62
Shs. 2.60,Shs. 2.50,Shs. 2.40,Shs. 2.10,Shs. 1.90
Shs. 2.60,Shs. 2.27,Shs. 2.18,Shs. 1.74,Shs. 1.57
72.9%,87.7%,84.3%,83.1%,80.0%
3.1%,2.3%,1.1%,1.1%,1.1%
2.6%,2.7%,3.0%,3.5%,3.3%
19.1%,18.7%,20.4%,24.4%,25.8%
19.6%,22.8%,22.5%,23.1%,25.0%
126,117,110,98,90
"2,197","2,075","1,885","1,745","1,514"
"1,829,901","1,467,494","1,388,890","3,051,222","1,258,974"
17.5%,20.1%,21.8%,18.3%,16.4%
16.2%,14.8%,16.8%,17.1%,17.7%
18.5%,17.7%,18.9%,20.5%,19.8%
