65.68%,65.68%,Column,Column,"2,058,576","2,058,576"
67.18%,67.18%,,,"3,026,081","3,026,081"
83.67%,83.67%,,,"636,907","636,907"
100%,100%,,,"2,000","2,000"
100%,100%,,,"29,137","29,137"
,,,,"5,752,701","5,752,701"
40%,40%,1,1,1,1
20%,20%,"6,079","6,079",-,-
,,"6,080","6,080","5,752,702","5,752,702"
