Tanzania,Uganda,Burundi,Total
Shs’000,Shs’000,Shs’000,Shs’000
"2,895,673","3,387,135","215,447","23,917,030"
"1,300,411","1,018,081","77,250","9,598,968"
"60,156","73,994",682,"296,878"
"4,256,240","4,479,210","293,379","33,812,876"
"1,292,183","1,826,557","69,089","12,942,194"
"50,570","30,081","8,910","415,631"
"1,342,753","1,856,638","77,999","13,357,825"
"2,913,487","2,622,572","215,380","20,455,051"
"692,969","645,714","70,347","3,091,066"
"235,551","237,717","6,244","1,745,734"
"7,038","10,892",572,"159,742"
"935,558","894,323","77,163","4,996,542"
