"1,390,490","(326,336)","(1,264,511)","(374,724)","(575,081)"
"(37,678)",-,-,-,"(37,678)"
"3,701",-,-,-,"3,701"
-,"43,767",-,-,"43,767"
-,"(13,663)",-,,"(13,663)"
-,-,"857,512",-,"857,512"
-,-,-,"35,251","35,251"
-,"(260,478)",-,-,"(260,478)"
"1,356,513","(556,710)","(406,999)","(339,473)","53,331"
"1,356,513","(556,710)","(406,999)","(339,473)","53,331"
"(33,114)",-,-,-,"(33,114)"
"2,332",-,-,-,"2,332"
-,"(126,213)",-,-,"(126,213)"
-,-,"710,783",-,"710,783"
-,-,-,"38,391","38,391"
-,"87,121",-,-,"87,121"
"743,448",-,-,-,"743,448"
"2,069,179","(595,802)","303,784","(301,082)","1,476,079"
