At 31 December 2024,Kenya,Tanzania,Uganda,Burundi,Total,"Consolidation
adjustments",Group
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"40,930,671","8,278,774","10,104,857","381,045","59,695,347",-,
,"7,244,275","2,612,141","1,842,578","51,961","11,750,955",-,
Total income from external customers,"48,174,946","10,890,915","11,947,435","433,006","71,446,302",-,"71,446,302"
,-,-,-,"14,837","14,837",-,
,"17,224","(31,376)","(85,420)",-,"(99,572)",-,
,"27,231","2,301","17,086","2,557","49,175","(49,175)",
Total income,"48,219,401","10,861,840","11,879,101","450,400","71,410,742","(49,175)","71,361,567"
,"(23,839,220)","(2,257,153)","(5,124,239)","(83,287)","(31,303,899)",-,
,"(10,556,463)","(3,988,572)","(4,388,617)","(194,419)","(19,128,071)",-,
,"(41,338)",(260),(601),"(6,976)","(49,175)","49,175",
,"(1,166,304)","(578,147)","(547,451)","(27,096)","(2,318,998)",-,
,"(5,963,153)","(392,094)","(1,046,320)","(23,674)","(7,425,241)",-,
Total expenses,"(41,566,478)","(7,216,226)","(11,107,228)","(335,452)","(60,225,384)","49,175","(60,176,209)"
,"6,652,923","3,645,614","771,873","114,948","11,185,358",-,
,"(1,330,144)","(1,129,017)","157,540","(64,328)","(2,365,949)",-,
Segment profit after tax,"5,322,779","2,516,597","929,413","50,620","8,819,409",-,"8,819,409"
