GROUP,BANK,Column
"Dec. 2013
Shs 000
Audited
14,154,675
2,374,025
650,361
-","Dec. 2013
Shs 000
Audited
9,975,556
2,053,099
95,780
-","Dec. 2012
Shs 000
Audited
10,374,522
2,062,918
244,575
-"
"17,179,061","12,124,435","12,682,015"
"5,771,402
258,368
146,653","3,966,134
165,569
144,416","5,727,639
87,906
119,183"
"6,176,423","4,276,119","5,934,728"
"11,002,638","7,848,316","6,747,287"
"756,818
1,276,250
1,223,278
3,755
117,653","466,439
644,947
796,330
32,265
53,383","379,235
606,485
810,445
18,996
90,634"
"3,377,754","1,993,364","1,905,795"
"14,380,392","9,841,680","8,653,082"
"926,574
2,820,117
82,115
453,121
476,783
137,888
2,252,754","601,987
1,576,750
39,368
255,361
256,182
111,915
1,433,721","920,819
1,413,849
31,073
209,957
217,188
91,258
1,099,275"
"7,149,353","4,275,284","3,983,419"
"7,231,039
-","5,566,396
-","4,669,663
-"
"7,231,039
3,964","5,566,396
-","4,669,663
-"
"7,235,003
( 2,462,210)
457,961","5,566,396
( 1,949,583)
441,084","4,669,663
( 1,743,232)
142,262"
"5,230,754","4,057,897","3,068,693"
