Stage 1,Stage 2,Stage 3,POCI,Total
12-month ECL,Lifetime ECL,Lifetime ECL,,
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"283,878",525,"3,178",-,"287,581"
"269,492","(6,301)","(263,191)",-,-
(916),916,-,-,-
-,-,-,-,-
-,-,-,-,-
"29,845",978,"(15,826)",-,"14,997"
"(293,404)","(5,686)",(674),-,"(299,764)"
"4,318","1,019",-,-,"5,337"
"(198,960)","16,175","276,513",-,"93,728"
"94,253","7,626",-,-,"101,879"
"1,231,975","1,650,292","9,640,696",-,"12,522,963"
