USD,GBP,EURO,OTHERS,TOTAL
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"2,813,604","248,412","683,598","54,680","3,800,294"
"9,280,838","1,250,887","765,631","295,931","11,593,287"
"21,266,980",4,"2,239",-,"21,269,223"
"78,284,059","25,992","3,351,781",138,"81,661,970"
"1,463,048",-,-,"5,341","1,468,389"
"113,108,529","1,525,295","4,803,249","356,090","119,793,163"
"72,859,891","5,150,270","3,653,591","277,375","81,941,127"
"20,504,886","13,211","2,505","96,729","20,617,331"
"355,026",-,-,-,"355,026"
"11,346,064",-,-,"10,783","11,356,847"
"1,860,064",-,-,-,"1,860,064"
"106,925,931","5,163,481","3,656,096","384,887","116,130,395"
"6,182,598","(3,638,186)","1,147,153","(28,797)","3,662,768"
"(7,225,190)","3,649,390","(1,101,206)","62,235","(4,614,771)"
"(1,042,592)","11,204","45,947","33,438","(952,003)"
"115,087,091","1,427,634","4,518,709","431,868","121,465,302"
"110,681,962","5,722,952","4,322,521","469,221","121,196,656"
"4,405,129","(4,295,318)","196,188","(37,353)","268,646"
"(8,559,755)","4,331,290","(170,176)","14,942","(4,383,699)"
"(4,154,626)","35,972","26,012","(22,411)","(4,115,053)"
