Key Risks,Risk Management Approach
Credit Risk,
"Credit risk is the risk of
loss arising from failure by
counterparties to meet their
financial or contractual
obligations when due.",
Concentration Risk,
"Probability of loss arising from
heavy exposure to a particular
group of counterparties,
vendors, geographies, single
vendor or transaction type.",
Liquidity Risk,
"The risk that the bank may
be unable to meet short term
financial demands. This usually
occurs due to the inability to
convert a security or hard asset
to cash without a loss of capital
and/or income in the process.",
Market Risk,
"The risk of loss from changes
in market prices and rates
(including interest rates, credit
spreads, equity prices, foreign
exchange rates and commodity
prices), the correlations among
them, and their levels of
volatility",
Foreign Exchange Risk,
"Foreign currency risk arises as a
result of the translation effect on
the Bank’s net assets in foreign
operations, intra-group foreign-
denominated debt and foreign-
denominated cash exposures and
accruals.",
Interest Rate Risk,
"This risk results from
the different repricing
characteristics of banking
assets and liabilities. It includes
endowment risk, repricing risk,
basis risk, optionality risk and
yield curve risk.",
