Column,Column,Column,Column,"STNEMETATS
LAICNANIF
DNA"
"1,421,566","1,230,071","1,114,729","982,437",
"201,227","682,175","130,640","627,769",
"59,400","89,775",-,"(20,957)","TROPER
DETARGETNI
0202
BTD"
"(980,133)","(581,177)","(848,087)","(474,520)",
"19,190",722,-,-,
"721,250","1,421,566","397,282","1,114,729",
"3,027,425","3,349,837","1,919,380","2,439,390",
"(2,306,175)","(1,928,271)","(1,522,098)","(1,324,661)",
"721,250","1,421,566","397,282","1,114,729",
,,,,209
